route_pattern,route_type,source_file,data_source,public_or_internal,language,sitemap_included,navigation_linked,production_status,notes
/,static-page,app/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/about,static-page,app/about/page.tsx,app-router,public,zh-CN,LIKELY,YES,NOT_CHECKED,derived from page.tsx
/admin,static-page,app/admin/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/article-categories,static-page,app/admin/article-categories/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/articles,static-page,app/admin/articles/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/cases,static-page,app/admin/cases/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/downloads,static-page,app/admin/downloads/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/faqs,static-page,app/admin/faqs/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/leads,static-page,app/admin/leads/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/login,static-page,app/admin/login/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/media,static-page,app/admin/media/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/product-categories,static-page,app/admin/product-categories/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/products,static-page,app/admin/products/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/settings,static-page,app/admin/settings/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/solutions,static-page,app/admin/solutions/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/admin/videos,static-page,app/admin/videos/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/api/admin/article-categories,api-route,app/api/admin/article-categories/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/article-categories/[id],api-route,app/api/admin/article-categories/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/articles,api-route,app/api/admin/articles/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/articles/[id],api-route,app/api/admin/articles/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/cases,api-route,app/api/admin/cases/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/cases/[id],api-route,app/api/admin/cases/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/downloads,api-route,app/api/admin/downloads/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/downloads/[id],api-route,app/api/admin/downloads/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/faqs,api-route,app/api/admin/faqs/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/faqs/[id],api-route,app/api/admin/faqs/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/leads,api-route,app/api/admin/leads/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/leads/[id],api-route,app/api/admin/leads/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/login,api-route,app/api/admin/login/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/logout,api-route,app/api/admin/logout/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/media,api-route,app/api/admin/media/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/media/[id],api-route,app/api/admin/media/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/product-categories,api-route,app/api/admin/product-categories/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/product-categories/[id],api-route,app/api/admin/product-categories/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/products,api-route,app/api/admin/products/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/products/[id],api-route,app/api/admin/products/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/settings,api-route,app/api/admin/settings/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/settings/[id],api-route,app/api/admin/settings/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/solutions,api-route,app/api/admin/solutions/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/solutions/[id],api-route,app/api/admin/solutions/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/videos,api-route,app/api/admin/videos/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/admin/videos/[id],api-route,app/api/admin/videos/[id]/route.ts,app-router,internal,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/leads,api-route,app/api/leads/route.ts,app-router,public,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/search,api-route,app/api/search/route.ts,app-router,public,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/api/upload,api-route,app/api/upload/route.ts,app-router,public,N/A,NO,NO,NOT_CHECKED,derived from route.ts
/cases,static-page,app/cases/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/cases/[slug],dynamic-page,app/cases/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/contact,static-page,app/contact/page.tsx,app-router,public,zh-CN,LIKELY,YES,NOT_CHECKED,derived from page.tsx
/downloads,static-page,app/downloads/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/downloads/[slug],dynamic-page,app/downloads/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/faq,static-page,app/faq/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/knowledge,static-page,app/knowledge/page.tsx,app-router,public,zh-CN,LIKELY,YES,NOT_CHECKED,derived from page.tsx
/knowledge/[categorySlug],dynamic-page,app/knowledge/[categorySlug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/knowledge/[categorySlug]/[slug],dynamic-page,app/knowledge/[categorySlug]/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/news,static-page,app/news/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/news/[slug],dynamic-page,app/news/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/products,static-page,app/products/page.tsx,app-router,public,zh-CN,LIKELY,YES,NOT_CHECKED,derived from page.tsx
/products/[categorySlug],dynamic-page,app/products/[categorySlug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/products/[categorySlug]/[productSlug],dynamic-page,app/products/[categorySlug]/[productSlug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/search,static-page,app/search/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/service,static-page,app/service/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/solutions,static-page,app/solutions/page.tsx,app-router,public,zh-CN,LIKELY,YES,NOT_CHECKED,derived from page.tsx
/solutions/[slug],dynamic-page,app/solutions/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/videos,static-page,app/videos/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
/videos/[slug],dynamic-page,app/videos/[slug]/page.tsx,app-router,public,zh-CN,LIKELY,NO,NOT_CHECKED,derived from page.tsx
